Ticker,Mean Return (Annualized),Risk (Annualized Std Dev)
CGA,0.01865486867117216,0.8570413280597928
CGAU,0.25201684560681104,0.4619138247699718
CGV,0.0646965672550125,0.11774505859102005
CHCT,-0.22036100865119265,0.25148708318582563
CHD,0.17440211424337393,0.19130187316349082
CHE,0.16713962192743265,0.19862576377554944
CHGG,-0.47959126793700835,0.7383781534085451
CHH,0.06889999348219948,0.245682767937156
CHMI,-0.16707401439404695,0.3528388423969546
CHN,-0.2307101965412899,0.2658751988240007
CHPT,-1.0107414508262846,0.8294930524162115
CHT,0.09317845228549734,0.10963461209672583
CHWY,-0.2631301096090122,0.5471123493471824
CI,-0.007696853835407949,0.30693123609382345
CIA,0.45944779843774636,0.6253634118542635
CIB,0.3075351615766931,0.33297452545847167
CIEN,-0.06415715435295208,0.3406456003885329
CIF,0.11511956921783519,0.1483181751432452
CIG,0.3554342667275412,0.3456780117674623
CII,0.18507091549005258,0.15094057112450335
CIM,0.028522073253779902,0.3607878621237035
CINT,-0.1103029506448182,0.6756173693041098
CIO,-0.09564507887493397,0.5276421242307597
CION,0.31688742383401436,0.25518340666719164
CIVI,0.40960890120166343,0.39297572016177157
CL,0.04673807121260455,0.1643743181815819
CLB,0.0437902096022232,0.495588931192029
CLCO,0.17330969675903854,0.3130868771159105
CLDT,-0.01997135238896619,0.30169918900796133
CLF,0.2871992090047409,0.4240748164182837
CLH,0.465833903985984,0.2545808859792591
CLPR,-0.06678022207960138,0.417334154942453
CLS,1.0361586229397715,0.39199768092215853
CLVT,0.19469924623160276,0.4688383158033325
CLW,0.05404193463190738,0.38751944949947364
CLX,0.06569916973450322,0.24870309972068477
CM,0.25915313962980785,0.21456480969491726
CMA,0.08966355285784512,0.6150760210536188
CMBT,0.38149246575063483,0.42537745580993613
CMC,0.11204632856257957,0.325360481824217
CMCM,0.39343375943904646,0.6451536296930104
CMG,0.5517591026747064,0.26039705670278557
CMI,0.05238373113520501,0.2444269208801454
CMP,-0.40520440993892815,0.3938105206857646
